Dog_Id,Like1,Like2,Like3,Like4
PD771,PD1545,PD1702,PD972,PD1601
PD1574,PD935,PD1240,PD139,PD460
PD1695,PD349,PD124,PD356,PD624
PD439,PD1140,PD470,PD126,PD414
PD919,PD1111,PD587,PD771,PD1511
PD272,PD478,PD445,PD1634,PD1737
PD1255,PD417,PD381,PD207,PD934
PD1726,PD635,PD774,PD831,PD363
PD434,PD577,PD846,PD065,PD752
PD850,PD284,PD182,PD1687,PD1200
PD1175,PD1377,PD1027,PD1564,PD418
PD799,PD1442,PD301,PD1044,PD1651
PD609,PD1036,PD756,PD498,PD708
PD1557,PD1331,PD939,PD691,PD081
PD525,PD663,PD1616,PD846,PD908
PD1501,PD1455,PD1756,PD1218,PD1778
PD616,PD418,PD1006,PD1389,PD543
PD1232,PD1658,PD146,PD639,PD1075
PD1529,PD319,PD1653,PD1296,PD094
PD1743,PD156,PD635,PD044,PD475
PD1434,PD489,PD1672,PD416,PD1185
PD203,PD1333,PD1083,PD1430,PD104
PD306,PD922,PD638,PD758,PD263
PD973,PD355,PD1652,PD069,PD1493
PD1010,PD253,PD1010,PD430,PD638
PD218,PD1759,PD1054,PD141,PD1548
PD701,PD382,PD1642,PD731,PD1516
PD710,PD513,PD468,PD193,PD1262
PD265,PD1608,PD1102,PD1494,PD1025
PD1628,PD1089,PD1237,PD1572,PD699
PD692,PD1452,PD1355,PD007,PD1115
PD339,PD1381,PD413,PD1317,PD979
PD577,PD1579,PD1471,PD1514,PD1207
PD1761,PD531,PD1525,PD1712,PD716
PD1087,PD1411,PD810,PD1049,PD1254
PD222,PD471,PD1482,PD961,PD1440
PD533,PD986,PD1687,PD848,PD533
PD1528,PD1265,PD396,PD029,PD1173
PD942,PD274,PD103,PD321,PD1217
PD519,PD1115,PD483,PD230,PD1567
PD1275,PD042,PD1538,PD1043,PD481
PD1535,PD567,PD153,PD1660,PD786
PD330,PD1435,PD425,PD982,PD445
PD1333,PD1134,PD819,PD103,PD1042
PD1672,PD1577,PD879,PD009,PD1474
PD094,PD875,PD720,PD059,PD1334
PD937,PD1420,PD1537,PD391,PD997
PD1531,PD1046,PD1673,PD1166,PD1489
PD1498,PD1585,PD1734,PD764,PD1683
PD179,PD017,PD845,PD669,PD1563
PD1609,PD856,PD946,PD1645,PD732
PD1682,PD720,PD384,PD1662,PD1221
PD129,PD345,PD440,PD1366,PD1221
PD303,PD263,PD1060,PD804,PD1128
PD392,PD229,PD639,PD345,PD1650
PD1119,PD1044,PD1781,PD1456,PD1574
PD1183,PD1589,PD990,PD1419,PD746
PD1051,PD1726,PD344,PD993,PD775
PD1493,PD832,PD499,PD1186,PD026
PD1551,PD1214,PD214,PD1225,PD1250
PD1121,PD1535,PD521,PD1296,PD171
PD676,PD1177,PD1077,PD896,PD167
PD1591,PD247,PD1056,PD466,PD1731
PD315,PD1421,PD042,PD1119,PD1171
PD823,PD551,PD1153,PD1047,PD416
PD1698,PD586,PD072,PD852,PD687
PD151,PD1217,PD554,PD221,PD539
PD696,PD562,PD1591,PD1313,PD618
PD1140,PD1685,PD067,PD1296,PD1347
PD1412,PD049,PD131,PD012,PD1452
PD035,PD1673,PD1110,PD1757,PD827
PD1361,PD880,PD1329,PD1490,PD1416
PD1011,PD1035,PD1238,PD933,PD877
PD1090,PD578,PD1552,PD961,PD1540
PD746,PD886,PD079,PD221,PD353
PD699,PD507,PD1775,PD714,PD1400
PD1273,PD933,PD1077,PD1390,PD845
PD255,PD1112,PD502,PD1605,PD101
PD160,PD1547,PD460,PD894,PD1585
PD393,PD998,PD1420,PD1382,PD876
PD1774,PD1766,PD1667,PD346,PD1622
PD484,PD534,PD1287,PD1644,PD1326
PD885,PD019,PD637,PD1153,PD1526
PD1006,PD578,PD1377,PD001,PD410
PD1346,PD621,PD792,PD1075,PD1106
PD1157,PD227,PD824,PD854,PD1538
PD635,PD1455,PD1570,PD810,PD1312
PD1693,PD1324,PD1001,PD846,PD1388
PD354,PD1302,PD486,PD1537,PD517
PD1344,PD741,PD241,PD1668,PD971
PD1260,PD513,PD248,PD1035,PD617
PD009,PD1617,PD1756,PD1129,PD1143
PD991,PD683,PD1695,PD1132,PD1271
PD1418,PD364,PD247,PD296,PD1286
PD605,PD1700,PD1407,PD1762,PD821
PD1348,PD1065,PD080,PD1607,PD1224
PD661,PD738,PD1327,PD1137,PD1104
PD201,PD177,PD1140,PD438,PD943
PD865,PD474,PD776,PD558,PD543
PD1703,PD1580,PD1271,PD1514,PD987
PD299,PD1405,PD1421,PD767,PD1090
PD060,PD037,PD358,PD693,PD695
PD981,PD626,PD269,PD231,PD510
PD787,PD1754,PD624,PD276,PD1357
PD044,PD1724,PD305,PD939,PD1335
PD1566,PD133,PD1543,PD255,PD760
PD049,PD884,PD153,PD794,PD1462
PD1507,PD496,PD028,PD1697,PD183
PD1129,PD576,PD985,PD893,PD1479
PD930,PD1260,PD690,PD1597,PD864
PD115,PD961,PD1378,PD046,PD123
PD1243,PD493,PD1323,PD444,PD511
PD1661,PD128,PD1515,PD1425,PD630
PD1030,PD886,PD1080,PD539,PD757
PD040,PD290,PD1133,PD185,PD163
PD361,PD114,PD861,PD581,PD1227
PD1646,PD1505,PD499,PD1504,PD173
PD579,PD062,PD1654,PD815,PD974
PD126,PD1348,PD602,PD1061,PD354
PD766,PD626,PD109,PD533,PD1257
PD1341,PD109,PD1270,PD187,PD1520
PD811,PD1645,PD538,PD047,PD1215
PD740,PD216,PD1234,PD1765,PD162
PD1224,PD286,PD098,PD1026,PD1597
PD905,PD719,PD1705,PD457,PD269
PD1289,PD879,PD731,PD019,PD1326
PD877,PD1745,PD1392,PD373,PD1133
PD1035,PD296,PD1028,PD1264,PD1645
PD1575,PD618,PD1002,PD154,PD356
PD1041,PD942,PD141,PD430,PD1783
PD482,PD1695,PD932,PD637,PD336
PD479,PD1663,PD1206,PD394,PD1730
PD005,PD259,PD1395,PD1138,PD957
PD1274,PD1551,PD679,PD315,PD242
PD1165,PD326,PD437,PD099,PD810
PD1634,PD650,PD1502,PD1335,PD1392
PD431,PD991,PD341,PD578,PD768
PD1288,PD999,PD1379,PD908,PD1147
PD066,PD1680,PD150,PD1510,PD637
PD907,PD1377,PD403,PD906,PD168
PD1452,PD500,PD748,PD1542,PD431
PD508,PD358,PD1223,PD495,PD898
PD879,PD664,PD182,PD013,PD065
PD1062,PD403,PD1500,PD1564,PD446
PD1079,PD1555,PD1214,PD1142,PD172
PD182,PD1740,PD1217,PD678,PD771
PD1438,PD1439,PD1270,PD541,PD1242
PD1084,PD1409,PD736,PD286,PD1221
PD650,PD128,PD714,PD1156,PD1210
PD324,PD893,PD428,PD1298,PD1717
PD1523,PD222,PD574,PD171,PD1133
PD1618,PD707,PD178,PD1611,PD1635
PD142,PD1530,PD1743,PD333,PD719
PD334,PD1087,PD184,PD750,PD356
PD197,PD1127,PD296,PD040,PD831
PD1783,PD317,PD1598,PD675,PD752
PD1256,PD1317,PD1061,PD1746,PD054
PD1497,PD875,PD838,PD1566,PD398
PD350,PD1494,PD242,PD525,PD1183
PD725,PD163,PD1692,PD1091,PD1107
PD003,PD1771,PD894,PD898,PD533
PD014,PD822,PD1105,PD1360,PD257
PD078,PD1683,PD417,PD558,PD576
PD125,PD993,PD614,PD1688,PD027
PD012,PD317,PD859,PD918,PD1542
PD363,PD892,PD1364,PD431,PD908
PD387,PD1136,PD1015,PD200,PD954
PD128,PD1624,PD567,PD1575,PD710
PD1028,PD1697,PD1185,PD1654,PD1329
PD1386,PD307,PD066,PD1338,PD573
PD088,PD147,PD022,PD1342,PD1357
PD369,PD1700,PD229,PD1471,PD1480
PD024,PD483,PD679,PD1586,PD658
PD178,PD143,PD1634,PD1134,PD1196
PD429,PD762,PD724,PD1005,PD910
PD236,PD1412,PD399,PD1370,PD564
PD089,PD795,PD419,PD495,PD515
PD836,PD1533,PD262,PD1021,PD337
